first,last,state,district,party,healthcare,college_tuition,minimum_wage,workers_rights,womens_rights,voting_rights,justice,climate
Barbara,Lee,CA,13,D,True,True,True,True,True,True,True,
Keith,Ellison,MN,05,D,True,True,True,True,True,True,True,
Janice,Schakowsky,IL,09,D,True,True,True,True,True,True,True,
James,McGovern,MA,02,D,True,,True,True,True,True,True,
José,Serrano,NY,15,D,True,,True,,True,True,True,
Karen,Bass,CA,37,D,True,True,True,,True,True,True,
Jared,Polis,CO,02,D,True,,True,,,True,True,
Raul,Grijalva,AZ,03,D,True,True,True,True,True,,True,
Katherine,Clark,MA,05,D,True,,True,True,True,,True,
Grace,Napolitano,CA,32,D,True,True,True,,True,,True,
Bobby,Rush,IL,01,D,True,,True,,True,,True,
Mark,Takano,CA,41,D,True,,True,True,True,True,True,
Wm.,Lacy Clay,MO,01,D,True,,True,,True,,True,
Tulsi,Gabbard,HI,02,D,True,,True,,,,True,
Ro,Khanna,CA,17,D,True,True,True,True,True,True,True,
Earl,Blumenauer,OR,03,D,True,True,True,True,True,True,True,
Grace,Meng,NY,06,D,True,,True,,True,True,True,
John,"Conyers, Jr.",MI,13,D,True,True,True,True,True,True,,
Mark,Pocan,WI,02,D,True,True,True,True,True,True,,
Eleanor,Holmes Norton,DC,Delegate,D,True,True,True,True,True,True,,
Alan,Lowenthal,CA,47,D,True,True,True,True,True,True,,
Ted,Lieu,CA,33,D,True,,True,True,True,True,,
Eddie,Bernice Johnson,TX,30,D,,,True,True,True,True,,
Jared,Huffman,CA,02,D,True,,True,True,True,True,,
David,Cicilline,RI,01,D,True,True,True,,True,True,,
Robert,Scott,VA,03,D,True,True,True,,True,True,,
Eric,Swalwell,CA,15,D,True,True,True,,True,True,,
Peter,Welch,VT,At Large,D,True,True,True,,True,True,,
Zoe,Lofgren,CA,19,D,True,True,True,,True,True,,
Chellie,Pingree,ME,01,D,True,True,True,,True,True,,
Alcee,Hastings,FL,20,D,True,,True,,True,True,,
Frederica,Wilson,FL,24,D,True,,True,,True,True,,
John,Lewis,GA,05,D,True,,True,,True,True,,
John,Yarmuth,KY,03,D,True,,True,,True,True,,
Elijah,Cummings,MD,07,D,True,,True,,True,True,,
Brenda,Lawrence,MI,14,D,True,,True,,True,True,,
G.,Butterfield,NC,01,D,True,,True,,True,True,,
Alma,Adams,NC,12,D,True,,True,,True,True,,
Bonnie,Watson Coleman,NJ,12,D,True,,True,,True,True,,
Gregory,Meeks,NY,05,D,True,,True,,True,True,,
Yvette,Clarke,NY,09,D,True,,True,,True,True,,
Paul,Tonko,NY,20,D,True,,True,,True,True,,
Joyce,Beatty,OH,03,D,True,,True,,True,True,,
Marcia,Fudge,OH,11,D,True,,True,,True,True,,
Tim,Ryan,OH,13,D,True,,True,,True,True,,
Adam,Smith,WA,09,D,True,,True,,True,True,,
Gwen,Moore,WI,04,D,True,,True,,True,True,,
Mike,Thompson,CA,05,D,True,,True,,True,True,,
Doris,Matsui,CA,06,D,True,,True,,True,True,,
Carolyn,Maloney,NY,12,D,True,,True,,True,True,,
Suzanne,Bonamici,OR,01,D,True,,True,,True,True,,
Steve,Cohen,TN,09,D,True,,True,,True,True,,
Suzan,DelBene,WA,01,D,,,True,,True,True,,
Jerry,McNerney,CA,09,D,True,,,,True,True,,
Rosa,DeLauro,CT,03,D,,,True,,True,True,,
Mike,Quigley,IL,05,D,,,True,,True,True,,
Daniel,Kildee,MI,05,D,,,True,,True,True,,
Frank,"Pallone, Jr.",NJ,06,D,,,True,,True,True,,
Donald,"Beyer, Jr.",VA,08,D,,,True,,True,True,,
Pete,Aguilar,CA,31,D,,,True,,True,True,,
Susan,Davis,CA,53,D,,,True,,True,True,,
Elizabeth,Esty,CT,05,D,,,True,,True,True,,
Lois,Frankel,FL,21,D,,,True,,True,True,,
Theodore,Deutch,FL,22,D,True,,,,True,True,,
Debbie,Wasserman Schultz,FL,23,D,,,True,,True,True,,
Sean,Patrick Maloney,NY,18,D,,,True,,True,True,,
Bill,Foster,IL,11,D,,,True,,True,True,,
Niki,Tsongas,MA,03,D,,,True,,True,True,,
Michelle,Lujan Grisham,NM,01,D,,,,,True,True,,
Julia,Brownley,CA,26,D,,,,,True,True,,
Gerald,Connolly,VA,11,D,,,,,True,True,,
Derek,Kilmer,WA,06,D,,,True,,True,True,,
Mark,DeSaulnier,CA,11,D,True,,True,,True,True,,
Hakeem,Jeffries,NY,08,D,True,,True,,True,True,,
John,Sarbanes,MD,03,D,True,,True,True,,True,,
John,Garamendi,CA,03,D,True,,True,True,,True,,
Nydia,Velázquez,NY,07,D,True,True,True,,,True,,
Sheila,Lee,TX,18,D,True,True,True,,,True,,
James,Langevin,RI,02,D,,True,True,,,True,,
Anna,Eshoo,CA,18,D,True,True,True,,,True,,
Anthony,Brown,MD,04,D,True,,True,,,True,,
Marcy,Kaptur,OH,09,D,True,,True,,,True,,
Jimmy,Panetta,CA,20,D,True,,True,,,True,,
David,Loebsack,IA,02,D,True,,True,,,True,,
Joseph,Crowley,NY,14,D,True,,True,,,True,,
Brian,Higgins,NY,26,D,True,,True,,,True,,
Brendan,Boyle,PA,13,D,True,,True,,,True,,
Matt,Cartwright,PA,17,D,True,,True,,,True,,
Terri,Sewell,AL,07,D,,,True,,,True,,
Joe,Courtney,CT,02,D,,,True,,,True,,
Cheri,Bustos,IL,17,D,,,True,,,True,,
John,Delaney,MD,06,D,,,True,,,True,,
Thomas,Suozzi,NY,03,D,,,True,,,True,,
Jim,Cooper,TN,05,D,True,,,,,True,,
Joaquin,Castro,TX,20,D,,,True,,,True,,
Richard,Neal,MA,01,D,,,,,,True,,
Ann,Kuster,NH,02,D,,,,,,True,,
Ron,Kind,WI,03,D,,,,,,True,,
Eliot,Engel,NY,16,D,True,,True,,True,True,,
Henry,"Johnson, Jr.",GA,04,D,True,,True,,True,True,,
Richard,Nolan,MN,08,D,True,True,True,True,,True,,
Carol,Shea-Porter,NH,01,D,,,True,,,True,,
Ruben,Kihuen,NV,04,D,,,True,,,True,,
Ruben,Gallego,AZ,07,D,True,,True,,True,True,,
Dwight,Evans,PA,02,D,True,,True,,True,True,,
Ed,Perlmutter,CO,07,D,True,,True,,True,True,,
Betty,McCollum,MN,04,D,,,True,,True,True,,
Sander,Levin,MI,09,D,,,True,,True,True,,
Peter,DeFazio,OR,04,D,True,,True,,,True,,
Denny,Heck,WA,10,D,,,True,,True,True,,
Gene,Green,TX,29,D,True,,True,,,True,,
Diana,DeGette,CO,01,D,True,,True,,True,True,,
Jackie,Speier,CA,14,D,True,,True,,True,True,,
Beto,O'Rourke,TX,16,D,,,,,True,True,,
A.,Donald McEachin,VA,04,D,,,,,True,True,,
Darren,Soto,FL,09,D,True,,True,,True,True,,
Timothy,Walz,MN,01,D,,,True,,,True,,
Louise,Slaughter,NY,25,D,True,,True,True,True,,,
Pramila,Jayapal,WA,07,D,True,True,True,True,True,,,
Judy,Chu,CA,27,D,True,True,True,,True,,,
Linda,Sánchez,CA,38,D,True,,True,,True,,,
Robin,Kelly,IL,02,D,True,,True,,True,,,
Luis,Gutiérrez,IL,04,D,True,,True,,True,,,
Danny,Davis,IL,07,D,True,,True,,True,,,
Michael,Capuano,MA,07,D,True,,True,,True,,,
Donald,"Payne, Jr.",NJ,10,D,True,,True,,True,,,
Jerrold,Nadler,NY,10,D,True,,True,,True,,,
Marc,Veasey,TX,33,D,True,,True,,True,,,
David,Price,NC,04,D,True,,True,,True,,,
Dina,Titus,NV,01,D,True,,True,,True,,,
Adam,Schiff,CA,28,D,True,,True,,True,,,
Nita,Lowey,NY,17,D,True,,True,,True,,,
Kathy,Castor,FL,14,D,True,,,,True,,,
Donald,Norcross,NJ,01,D,,,True,,True,,,
Tony,CÃ¡rdenas,CA,29,D,,,True,,True,,,
Norma,Torres,CA,35,D,,,True,,True,,,
Scott,Peters,CA,52,D,,,True,,True,,,
Seth,Moulton,MA,06,D,,,True,,True,,,
Kathleen,Rice,NY,04,D,,,True,,True,,,
Joseph,Kennedy III,MA,04,D,,,True,,True,,,
Cedric,Richmond,LA,02,D,,,,,True,,,
Ami,Bera,CA,07,D,,,,,True,,,
Bradley,Scott Schneider,IL,10,D,,,,,True,,,
William,Keating,MA,09,D,,,,,True,,,
Lloyd,Doggett,TX,35,D,,,,,True,,,
Robert,Brady,PA,01,D,True,,True,,True,,,
Charlie,Crist,FL,13,D,,,True,,True,,,
Jamie,Raskin,MD,08,D,True,True,True,True,True,,,
Nanette,Barragán,CA,44,D,True,,True,,True,,,
Rick,Larsen,WA,02,D,,,True,,True,,,
David,Scott,GA,13,D,,,,,True,,,
Salud,Carbajal,CA,24,D,,,True,,True,,,
Lisa,Blunt Rochester,DE,At Large,D,,,True,,True,,,
Jacky,Rosen,NV,03,D,,,,,True,,,
Lucille,Roybal-Allard,CA,40,D,True,,True,True,,,,
Adriano,Espaillat,NY,13,D,True,True,True,,,,,
Maxine,Waters,CA,43,D,True,,True,,,,,
José,Carson,IN,07,D,True,,True,,,,,
Debbie,Dingell,MI,12,D,True,,True,,,,,
Bennie,Thompson,MS,02,D,True,,True,,,,,
Albio,Sires,NJ,08,D,True,,True,,,,,
James,Clyburn,SC,06,D,True,,True,,,,,
Al,Green,TX,09,D,True,,True,,,,,
Peter,Visclosky,IN,01,D,True,,True,,,,,
Michael,Doyle,PA,14,D,True,,True,,,,,
Gregorio,Kilili Camacho	Sablan,MP,Delegate,D,True,,True,,,,,
Emanuel,Cleaver,MO,05,D,True,,,,,,,
Bill,"Pascrell, Jr.",NJ,09,D,,,True,,,,,
Nancy,Pelosi,CA,12,D,,,True,,,,,
Brad,Sherman,CA,30,D,,,True,,,,,
Raul,Ruiz,CA,36,D,,,True,,,,,
J.,Luis Correa,CA,46,D,True,,,,,,,
Juan,Vargas,CA,51,D,,,True,,,,,
John,Larson,CT,01,D,,,True,,,,,
James,Himes,CT,04,D,,,True,,,,,
Al,"Lawson, Jr.",FL,05,D,True,,,,,,,
Stephanie,Murphy,FL,07,D,,,True,,,,,
Val,Butler Demings,FL,10,D,,,True,,,,,
Colleen,Hanabusa,HI,01,D,,,True,,,,,
Raja,Krishnamoorthi,IL,08,D,,,True,,,,,
C.A.,Dutch Ruppersberger,MD,02,D,,,True,,,,,
Steny,Hoyer,MD,05,D,,,True,,,,,
Ben,Ray LujÃ¡n,NM,03,D,,,True,,,,,
Vicente,Gonzalez,TX,15,D,True,,,,,,,
Sanford,"Bishop, Jr.",GA,02,D,True,,,,,,,
Josh,Gottheimer,NJ,05,D,,,True,,,,,
Tom,O'Halleran,AZ,01,D,,,,,,,,
Kyrsten,Sinema,AZ,09,D,,,,,,,,
Jim,Costa,CA,16,D,,,,,,,,
Madeleine,Bordallo,GU,Delegate,D,,,,,,,,
Daniel,Lipinski,IL,03,D,,,,,,,,
Stephen,Lynch,MA,08,D,,,,,,,,
Collin,Peterson,MN,07,D,,,,,,,,
Kurt,Schrader,OR,05,D,,,,,,,,
Henry,Cuellar,TX,28,D,,,,,,,,
Filemon,Vela,TX,34,D,,,,,,,,
Stacey,Plaskett,VI,Delegate,D,,,,,,,,
Jimmy,Gomez,CA,34,D,True,,,,,,,